0240,05/24/2013,144,H,      723,H,     73.8,*,     78.1,R,     32.0,H,     68.4,H,      9.4,R,      7.5,H,     0.00,H,       75,H,       25,H,     0.11,*,       40,*,     43.0,R,    182.2
0240,05/25/2013,145,*,      674,*,     70.8,*,     78.6,*,     50.6,*,     62.7,*,     11.6,*,      5.3,*,     0.00,*,       92,*,       28,*,     0.23,*,       60,*,     48.4,*,    129.0
0240,05/26/2013,146,*,      641,*,     71.5,*,     77.5,*,     48.4,*,     62.4,*,     12.0,*,      5.2,*,     0.00,*,       93,*,       41,*,     0.21,*,       62,*,     49.5,*,    126.5
0240,05/27/2013,147,*,      701,*,     71.8,*,     81.9,*,     50.0,*,     65.1,*,     13.2,*,      5.3,*,     0.00,*,       88,*,       38,*,     0.24,*,       62,*,     51.9,*,    128.7
0240,05/28/2013,148,*,      539,*,     72.2,*,     79.2,*,     55.3,*,     64.7,*,     14.5,Y,      6.4,*,     0.00,*,       90,*,       44,*,     0.19,*,       69,*,     54.5,Y,    155.5
0240,05/29/2013,149,*,      723,*,     72.3,*,     88.5,*,     48.9,*,     69.5,*,     14.4,*,      5.4,*,     0.00,*,       96,*,       31,*,     0.27,*,       59,*,     54.4,*,    130.2
0240,05/30/2013,150,*,      725,*,     73.4,*,     87.8,*,     51.0,*,     70.4,*,     13.8,*,      5.2,*,     0.00,*,       97,*,       31,*,     0.27,*,       54,*,     53.1,*,    126.2
0240,05/31/2013,151,*,      686,*,     73.6,Y,     93.4,*,     53.5,*,     72.0,*,     15.2,*,      4.9,*,     0.00,*,       98,*,       26,*,     0.26,*,       57,*,     55.7,*,    117.3
0240,06/01/2013,152,*,      648,*,     74.2,Y,    102.7,*,     54.1,*,     76.6,*,     14.3,*,      5.2,*,     0.00,*,       86,*,       12,R,     0.28,*,       46,*,     54.1,*,    126.1
0240,06/02/2013,153,*,      732,*,     74.4,*,     86.9,*,     55.1,*,     70.9,*,     14.9,Y,      5.7,*,     0.00,*,       94,*,       29,*,     0.28,*,       58,*,     55.3,Y,    137.2
0240,06/03/2013,154,*,      634,*,     74.0,*,     83.7,*,     57.4,*,     66.7,*,     14.5,Y,      5.7,*,     0.00,*,       94,*,       35,*,     0.23,*,       65,*,     54.5,Y,    136.4
0240,06/04/2013,155,*,      625,*,     73.6,*,     83.0,*,     58.2,*,     67.6,*,     14.7,*,      5.2,*,     0.00,*,       91,*,       37,*,     0.23,*,       64,*,     54.8,*,    126.5
0240,06/05/2013,156,*,      611,*,     73.4,*,     85.4,*,     52.4,*,     67.1,*,     14.3,*,      4.8,*,     0.00,*,       95,*,       35,*,     0.22,*,       63,*,     54.2,*,    116.6
0240,06/06/2013,157,*,      713,*,     73.5,*,     88.4,*,     52.9,*,     69.8,*,     14.1,*,      4.6,*,     0.00,*,       91,*,       34,*,     0.26,*,       57,*,     53.8,*,    111.7
0240,06/07/2013,158,*,      675,*,     74.0,*,     89.7,*,     53.3,*,     70.1,*,     14.9,*,      4.6,*,     0.00,*,       98,*,       32,*,     0.25,*,       59,*,     55.2,*,    111.9
0240,06/08/2013,159,*,      702,*,     74.8,*,     90.8,*,     56.1,*,     70.3,*,     15.6,*,      4.9,*,     0.00,*,       95,*,       36,*,     0.26,*,       62,*,     56.5,*,    118.7
0240,06/09/2013,160,*,      700,*,     74.8,*,     90.3,*,     54.1,*,     70.0,*,     12.4,*,      4.9,*,     0.00,*,       96,*,       13,*,     0.27,*,       49,*,     50.2,*,    117.8
0240,06/10/2013,161,*,      676,*,     74.1,*,     84.6,*,     54.9,*,     67.6,*,     12.0,Y,      6.2,*,     0.00,*,       96,*,       21,*,     0.27,*,       52,*,     49.4,Y,    149.7
0240,06/11/2013,162,*,      625,*,     73.7,*,     95.8,*,     51.7,*,     73.7,*,     12.2,*,      3.8,*,     0.00,*,       81,*,       16,*,     0.25,*,       43,*,     49.8,*,     90.8
0240,06/12/2013,163,*,      690,*,     74.4,*,     85.4,*,     58.7,*,     70.9,*,     15.6,*,      5.4,*,     0.00,*,       89,*,       33,*,     0.26,*,       60,*,     56.4,*,    130.7
0240,06/13/2013,164,*,      680,*,     74.6,*,     89.1,*,     55.4,*,     70.6,*,     15.1,*,      4.8,*,     0.00,*,       97,*,       33,*,     0.26,*,       59,*,     55.6,*,    116.3
0240,06/14/2013,165,*,      753,*,     74.8,*,     88.0,*,     50.6,*,     69.8,*,     12.4,*,      5.3,*,     0.00,*,       93,*,       16,*,     0.28,*,       50,*,     50.3,*,    128.4
0240,06/15/2013,166,*,      684,*,     74.6,*,     86.9,*,     52.9,*,     67.3,*,     12.1,*,      5.5,*,     0.00,*,       97,*,       19,*,     0.25,*,       53,*,     49.5,*,    132.1
0240,06/16/2013,167,*,      737,*,     74.3,*,     89.2,*,     51.3,*,     69.9,*,     12.7,*,      4.8,*,     0.00,*,       93,*,       27,*,     0.28,*,       51,*,     51.0,*,    115.6
0240,06/17/2013,168,*,      727,*,     74.2,*,     91.5,*,     53.0,*,     72.9,*,     12.6,*,      4.1,*,     0.00,*,       76,*,       25,*,     0.28,*,       45,*,     50.6,*,     99.3
0240,06/18/2013,169,*,      716,*,     74.7,*,     88.8,*,     54.7,*,     71.9,*,     13.2,*,      5.0,*,     0.00,*,       79,*,       28,*,     0.28,*,       49,*,     51.9,*,    120.2
0240,06/19/2013,170,*,      713,*,     74.9,*,     87.3,*,     54.9,*,     70.6,*,     14.1,*,      5.1,*,     0.00,*,       97,*,       32,*,     0.27,*,       55,*,     53.8,*,    124.1
0240,06/20/2013,171,*,      719,*,     74.8,*,     89.2,*,     52.6,*,     71.5,*,     12.8,*,      4.6,*,     0.00,*,       90,*,       28,*,     0.27,*,       49,*,     51.1,*,    110.5
0240,06/21/2013,172,*,      707,*,     74.8,*,     88.8,*,     50.8,*,     71.3,*,     11.7,*,      4.4,*,     0.00,*,       76,*,       25,*,     0.27,*,       45,*,     48.8,*,    105.4
0240,06/22/2013,173,*,      713,*,     74.6,*,     87.4,*,     52.4,*,     71.3,*,     13.0,*,      4.9,*,     0.00,*,       80,*,       33,*,     0.27,*,       50,*,     51.6,*,    119.3
0240,06/23/2013,174,*,      655,*,     74.6,*,     83.8,*,     56.0,*,     67.6,*,     14.3,*,      5.1,*,     0.00,*,       93,*,       38,*,     0.23,*,       62,*,     54.2,*,    124.2
0240,06/24/2013,175,*,      490,*,     74.4,*,     80.2,*,     57.3,*,     66.0,*,     14.6,Y,      5.8,*,     0.00,*,       90,*,       46,*,     0.17,*,       67,*,     54.8,Y,    140.8
0240,06/25/2013,176,*,      687,*,     74.0,*,     85.6,*,     57.1,*,     71.6,*,     16.0,*,      4.9,*,     0.00,*,       90,*,       42,*,     0.26,*,       61,*,     57.3,*,    118.4
0240,06/26/2013,177,*,      691,*,     74.6,*,     95.7,*,     60.0,*,     79.3,*,     16.7,*,      5.0,*,     0.00,*,       82,*,       29,*,     0.29,*,       49,*,     58.3,*,    121.2
0240,06/27/2013,178,*,      700,*,     75.4,Y,    101.1,*,     64.5,*,     82.5,*,     15.9,*,      4.6,*,     0.00,*,       74,*,       24,*,     0.31,*,       42,*,     57.0,*,    110.4
0240,06/28/2013,179,*,      707,*,     76.0,Y,    101.9,*,     59.7,*,     83.2,*,     15.5,*,      5.1,*,     0.00,*,       70,*,       24,*,     0.32,*,       40,*,     56.3,*,    123.3
0240,06/29/2013,180,*,      627,*,     76.2,Y,    106.8,*,     59.7,*,     85.3,*,     15.2,*,      4.6,*,     0.00,*,       72,*,       17,R,     0.30,*,       37,*,     55.8,*,    110.5
0240,06/30/2013,181,*,      576,*,     76.5,Y,    104.8,*,     65.1,*,     84.1,*,     14.8,*,      4.6,*,     0.00,*,       63,*,       20,R,     0.28,*,       37,*,     55.1,*,    111.4
0240,07/01/2013,182,*,      613,*,     76.3,*,    100.4,*,     67.0,*,     84.4,*,     15.0,*,      5.0,*,     0.00,*,       64,*,       20,*,     0.30,*,       37,*,     55.5,*,    120.5
0240,07/02/2013,183,*,      547,*,     76.2,*,     98.6,*,     63.2,*,     79.6,*,     16.0,*,      4.6,*,     0.00,*,       66,*,       26,*,     0.25,*,       46,*,     57.2,*,    110.2
0240,07/03/2013,184,*,      571,*,     76.1,*,     98.4,*,     62.4,*,     79.5,*,     14.7,*,      4.1,*,     0.00,*,       74,*,       25,*,     0.25,*,       43,*,     54.9,*,     98.2
0240,07/04/2013,185,*,      661,*,     75.7,*,     99.1,*,     61.1,*,     79.4,*,     14.4,*,      4.0,*,     0.00,*,       73,*,       23,*,     0.28,*,       42,*,     54.4,*,     96.6
0240,07/05/2013,186,*,      586,*,     75.6,*,     93.8,*,     60.7,*,     76.1,*,     16.0,*,      4.3,*,     0.00,*,       81,*,       27,*,     0.24,*,       52,*,     57.2,*,    104.5
0240,07/06/2013,187,*,      606,*,     75.5,*,     93.7,*,     61.0,*,     76.2,*,     17.6,*,      4.9,*,     0.00,*,       88,*,       35,*,     0.25,*,       57,*,     59.8,*,    118.4
0240,07/07/2013,188,*,      700,*,     75.6,*,     97.8,*,     60.2,*,     78.9,*,     15.8,Y,      5.7,*,     0.00,*,       88,*,       19,*,     0.31,*,       47,*,     56.9,Y,    136.4
0240,07/08/2013,189,*,      716,*,     75.0,Y,    104.0,*,     58.9,*,     82.3,*,     13.1,Y,      5.7,*,     0.00,*,       81,*,       13,*,     0.34,*,       35,*,     51.7,Y,    138.6
0240,07/09/2013,190,*,      593,*,     74.8,Y,    101.1,*,     62.7,*,     83.3,*,     13.7,*,      4.3,*,     0.00,*,       56,*,       20,*,     0.28,*,       35,*,     53.0,*,    103.6
0240,07/10/2013,191,*,      379,*,     75.2,*,     88.4,Y,     71.3,*,     78.7,*,     14.2,R,      6.2,*,     0.00,*,       57,*,       31,*,     0.20,*,       42,*,     54.0,R,    149.1
0240,07/11/2013,192,*,      229,*,     75.0,*,     85.5,*,     68.7,*,     74.5,*,     18.4,*,      3.7,*,     0.02,*,       77,*,       43,*,     0.08,*,       63,*,     61.2,*,     89.9
0240,07/12/2013,193,*,      625,*,     75.1,*,     92.7,*,     64.3,*,     77.8,*,     18.7,*,      4.9,*,     0.00,*,       87,*,       28,*,     0.26,*,       57,*,     61.6,*,    118.6
0240,07/13/2013,194,*,      685,*,     75.1,*,     95.9,*,     57.7,*,     78.1,*,     15.2,*,      4.7,*,     0.00,*,       93,*,       22,*,     0.30,*,       46,*,     55.8,*,    113.5
0240,07/14/2013,195,*,      620,*,     75.0,*,     98.1,*,     66.0,*,     80.5,*,     14.9,*,      4.6,*,     0.00,*,       70,*,       22,*,     0.28,*,       42,*,     55.2,*,    111.3
0240,07/15/2013,196,*,      684,*,     75.1,*,     96.6,*,     61.1,*,     79.3,*,     12.2,R,      6.2,*,     0.00,*,       69,*,       19,*,     0.33,*,       36,*,     49.7,R,    149.3
0240,07/16/2013,197,*,      703,*,     74.2,*,     94.3,*,     55.0,*,     76.4,Y,      8.9,*,      4.6,*,     0.00,*,       56,*,       13,*,     0.30,Y,       29,Y,     41.5,*,    110.2
0240,07/17/2013,198,*,      709,*,     73.4,*,     96.7,*,     49.7,*,     75.7,Y,      8.0,*,      5.1,*,     0.00,*,       63,*,       11,*,     0.31,Y,       26,Y,     38.7,*,    123.4
0240,07/18/2013,199,*,      628,*,     72.8,*,     97.4,*,     51.7,*,     76.3,Y,      8.3,*,      4.5,*,     0.00,*,       50,*,       12,*,     0.30,Y,       27,Y,     39.6,*,    109.4
0240,07/19/2013,200,*,      523,*,     72.8,*,     95.8,*,     57.7,*,     76.7,*,     13.2,*,      4.5,*,     0.00,*,       71,*,       19,*,     0.23,*,       42,*,     51.9,*,    108.2
0240,07/20/2013,201,*,      312,*,     73.0,*,     88.7,*,     63.6,*,     74.2,*,     18.5,*,      4.5,*,     0.00,*,       80,*,       47,*,     0.12,*,       64,*,     61.3,*,    109.7
0240,07/21/2013,202,*,      261,*,     73.5,*,     86.1,*,     65.3,*,     73.8,*,     18.5,*,      4.8,*,     0.00,*,       77,*,       48,*,     0.10,*,       65,*,     61.2,*,    115.1
0240,07/22/2013,203,*,      491,*,     73.7,*,     90.9,*,     66.8,*,     77.4,*,     18.4,*,      4.5,*,     0.00,*,       80,*,       41,*,     0.20,*,       57,*,     61.2,*,    108.5
0240,07/23/2013,204,*,      627,*,     74.1,*,     92.1,*,     65.3,*,     77.5,*,     17.2,Y,      5.7,*,     0.00,*,       74,*,       32,*,     0.27,*,       53,*,     59.2,Y,    137.3
0240,07/24/2013,205,*,      618,*,     74.1,*,     95.3,*,     65.0,*,     78.6,*,     15.8,R,      6.2,*,     0.00,*,       68,*,       31,*,     0.29,*,       47,*,     56.8,R,    149.5
0240,07/25/2013,206,*,      616,*,     74.1,*,     98.5,*,     62.7,*,     79.7,*,     15.8,*,      4.8,*,     0.00,*,       68,*,       27,*,     0.27,*,       46,*,     56.8,*,    115.0
0240,07/26/2013,207,*,      367,*,     74.6,*,     91.6,*,     66.1,*,     78.1,*,     17.7,*,      4.9,*,     0.00,*,       73,*,       37,*,     0.17,*,       54,*,     60.1,*,    118.3
0240,07/27/2013,208,*,      578,*,     74.9,*,     95.1,*,     66.7,*,     78.4,*,     17.5,*,      4.4,*,     0.00,*,       76,*,       35,*,     0.24,*,       53,*,     59.8,*,    106.2
0240,07/28/2013,209,*,      694,*,     75.2,*,     91.3,*,     60.2,*,     74.0,*,     14.3,Y,      5.7,*,     0.00,*,       91,*,       21,*,     0.28,*,       50,*,     54.1,Y,    136.6
0240,07/29/2013,210,*,      668,*,     74.6,*,     91.3,*,     54.1,*,     72.5,*,     14.2,*,      4.6,*,     0.00,*,       93,*,       29,*,     0.26,*,       52,*,     53.9,*,    111.0
0240,07/30/2013,211,*,      642,*,     74.4,*,     91.4,*,     60.4,*,     73.5,*,     15.0,*,      5.0,*,     0.00,*,       79,*,       31,*,     0.25,*,       53,*,     55.4,*,    121.6
0240,07/31/2013,212,*,      690,*,     74.3,*,     89.4,*,     58.2,*,     71.2,*,     14.2,*,      4.9,*,     0.00,*,       80,*,       19,*,     0.26,*,       54,*,     53.9,*,    117.3
0240,08/01/2013,213,*,      604,*,     74.1,*,     87.6,*,     55.3,*,     68.8,*,     14.2,*,      4.6,*,     0.00,*,       97,*,       32,*,     0.22,*,       59,*,     53.9,*,    111.8
0240,08/02/2013,214,*,      657,*,     74.0,*,     90.4,*,     52.5,*,     71.5,*,     14.0,*,      4.3,*,     0.00,*,       96,*,       24,*,     0.25,*,       53,*,     53.5,*,    104.9
0240,08/03/2013,215,*,      633,*,     73.9,*,     90.2,*,     53.6,*,     72.2,*,     14.4,*,      3.7,*,     0.00,*,       92,*,       27,*,     0.24,*,       53,*,     54.2,*,     88.5
0240,08/04/2013,216,*,      657,*,     73.4,*,     92.6,*,     55.9,*,     74.2,*,     13.5,*,      4.7,*,     0.00,*,       88,*,       27,*,     0.28,*,       47,*,     52.6,*,    114.3
0240,08/05/2013,217,*,      628,*,     72.8,*,     93.9,*,     52.8,*,     74.2,*,     11.7,*,      4.2,*,     0.00,*,       78,*,       14,*,     0.27,*,       40,*,     48.6,*,    101.9
0240,08/06/2013,218,*,      657,*,     72.3,*,     92.2,*,     54.0,*,     72.8,*,     11.9,*,      4.1,*,     0.00,*,       88,*,       17,*,     0.27,*,       43,*,     49.2,*,    100.1
0240,08/07/2013,219,*,      653,*,     72.0,*,     92.1,*,     53.6,*,     72.3,*,     11.3,*,      4.7,*,     0.00,*,       77,*,       18,*,     0.27,*,       42,*,     47.8,*,    113.3
0240,08/08/2013,220,*,      639,*,     71.6,*,     91.5,*,     50.8,*,     71.8,*,     10.9,*,      4.1,*,     0.00,*,       81,*,       17,*,     0.26,*,       41,*,     46.8,*,     98.9
0240,08/09/2013,221,*,      667,*,     71.3,*,     89.0,*,     50.6,*,     69.6,*,     12.4,*,      4.4,*,     0.00,*,       87,*,       15,*,     0.25,*,       50,*,     50.2,*,    107.0
0240,08/10/2013,222,*,      657,*,     71.3,*,     86.4,*,     50.0,*,     69.1,*,     12.5,*,      4.5,*,     0.00,*,       87,*,       31,*,     0.25,*,       52,*,     50.5,*,    109.4
0240,08/11/2013,223,*,      657,*,     70.9,*,     91.3,*,     51.7,*,     71.7,*,     12.6,*,      4.4,*,     0.00,*,       83,*,       24,*,     0.26,*,       47,*,     50.6,*,    105.7
0240,08/12/2013,224,*,      651,*,     71.1,*,     93.1,*,     54.0,*,     73.7,*,     13.3,*,      4.4,*,     0.00,*,       82,*,       26,*,     0.26,*,       47,*,     52.2,*,    105.3
0240,08/13/2013,225,*,      642,*,     71.4,*,     96.8,*,     53.3,*,     76.5,*,     14.6,*,      4.6,*,     0.00,*,       85,*,       23,*,     0.27,*,       47,*,     54.7,*,    112.2
0240,08/14/2013,226,*,      651,*,     71.6,*,    102.7,*,     55.3,*,     78.5,*,     13.7,*,      4.8,*,     0.00,*,       82,*,       14,R,     0.29,*,       41,*,     53.0,*,    116.6
